prize_id,prize_alias,prize_name,prize_institution,prize_year,prize_genre,person_id,person_role,last_name,first_name,name,gender,sexuality,uk_residence,ethnicity_macro,ethnicity,highest_degree,degree_institution,degree_field_category,degree_field,viaf,book_id,book_title,decade
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2003,non-fiction,0339,shortlisted,Forna,Aminatta,"Forna, Aminatta",Female,unknown,UK,Black British,Scottish Sierra Leonan,Doctorate,Bath Spa University,Writing,Creative Writing,230968647,00863,The Devil That Danced on the Water,2000
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2003,fiction,0020,winner,Franzen,Jonathan,"Franzen, Jonathan",Male,unknown,Non-UK,Non-UK White,White American,Bachelors,Swarthmore College,Language and Literature,German,84489381,00106,The Corrections,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2003,fiction,0177,shortlisted,Galgut,Damon,"Galgut, Damon",Male,queer,Non-UK,Jewish,Jewish South African,Bachelors,University of Cape Town,Arts,Theatre,87451615,00112,The Good Doctor,2000
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2003,sff,0503,winner,Grimwood,Jon Courtenay,"Grimwood, Jon Courtenay",Male,unknown,UK,White British,Maltese British,unknown,unknown,unknown,unknown,26553205,00647,Felaheen,2000
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,2003,no/any/multi genre,0119,winner,Haddon,Mark,"Haddon, Mark",Male,unknown,UK,White British,English,Masters,University of Edinburgh,Language and Literature,English Literature,85413157,00126,The Curious Incident of the Dog in the Night-Time,2000
4,Costa Novel Award,Whitbread Novel Award,Whitbread,2003,fiction,0119,winner,Haddon,Mark,"Haddon, Mark",Male,unknown,UK,White British,English,Masters,University of Edinburgh,Language and Literature,English Literature,85413157,00126,The Curious Incident of the Dog in the Night-Time,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2003,fiction,0257,shortlisted,Heller,Zoe,"Heller, Zoe",Female,unknown,UK,Jewish,Jewish British,Masters,Columbia University,Language and Literature,English Literature,85560665,00137,Notes on a Scandal,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2003,non-fiction,0694,shortlisted,Judson,Olivia,"Judson, Olivia",Female,unknown,UK,White British,English,Doctorate,University of Oxford,Maths and Sciences,Evolutionary Biology,951847,00864,Dr Tatiana's Sex Advice to All Creation,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2003,fiction,0278,shortlisted,Mackay,Shena,"Mackay, Shena",Female,unknown,UK,White British,Scottish,none,none,none,none,49454346,00462,Heligoland,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2003,fiction,0365,winner,Martin,Valerie,"Martin, Valerie",Female,unknown,Non-UK,Non-UK White,White American,Masters,"University of Massachusetts, Amherst",Writing,Creative Writing,101831920,00464,Property,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2003,fiction,0258,shortlisted,Morrall,Clare,"Morrall, Clare",Female,unknown,UK,White British,English,unknown,unknown,unknown,unknown,66699469,00234,Astonishing Splashes of Colour,2000
6,Costa Poetry Award,Whitbread Poetry Award,Whitbread,2003,poetry,0067,winner,Paterson,Don,"Paterson, Don",Male,unknown,UK,White British,Scottish,none,none,none,none,40326655,00257,Landing Light,2000
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2003,poetry,0067,winner,Paterson,Don,"Paterson, Don",Male,unknown,UK,White British,Scottish,none,none,none,none,40326655,00257,Landing Light,2000
3,Costa First Novel Award,Whitbread First Novel Award,Whitbread,2003,fiction,0120,winner,Pierre,DBC,"Pierre, DBC",Male,unknown,UK,Non-UK White,White Australian British,none,none,none,none,93888958,00262,Vernon God Little,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2003,fiction,0120,winner,Pierre,DBC,"Pierre, DBC",Male,unknown,UK,Non-UK White,White Australian British,none,none,none,none,93888958,00262,Vernon God Little,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2003,fiction,0261,shortlisted,Shields,Carol,"Shields, Carol",Female,unknown,Non-UK,Non-UK White,White American Canadian,Masters,University of Ottawa,Language and Literature,English Literature,4944537,00295,Unless,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2003,fiction,0022,shortlisted,Smith,Zadie,"Smith, Zadie",Female,unknown,UK,Black British,Jamaican British,unknown,unknown,unknown,unknown,14951645,00461,The Autograph Man,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2003,fiction,0332,shortlisted,Tartt,Donna,"Tartt, Donna",Female,unknown,Non-UK,Non-UK White,White American,Bachelors,Bennington College,unknown,unknown,85733536,00460,The Little Friend,2000
5,Costa Biography Award,Whitbread Biography Award,Whitbread,2003,biography,0121,winner,Taylor,DJ,"Taylor, DJ",Male,unknown,UK,White British,British,Bachelors,University of Oxford,History and Cultural Studies,Modern History,110124814,00322,Orwell: The Life,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2003,non-fiction,0123,shortlisted,Tomalin,Claire,"Tomalin, Claire",Female,unknown,UK,White British,English,Bachelors,University of Cambridge,unknown,unknown,89941811,00334,Samuel Pepys: The Unequalled Self,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2003,non-fiction,0695,shortlisted,Vincent,Edgar,"Vincent, Edgar",Male,unknown,UK,White British,English,Bachelors,University of Oxford,unknown,unknown,37151454,00865,Nelson,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2003,crime,0481,winner,Walters,Minette,"Walters, Minette",Female,unknown,UK,White British,English,Bachelors,Durham University,Language and Literature,French,79704,00614,Fox Evil,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0329,shortlisted,Adichie,Chimamanda Ngozi,"Adichie, Chimamanda Ngozi",Female,unknown,Non-UK,African,Nigerian America,Masters,Johns Hopkins University/Yale University,Multiple,Creative Writing/African History,87194517,00456,Purple Hibiscus,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0689,shortlisted,Applebaum,Anne,"Applebaum, Anne",Female,unknown,Non-UK,Jewish,Jewish American,Masters,London School of Economics,Politics and Economics,International Relations,278339970,00856,Gulag,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0190,shortlisted,Atwood,Margaret,"Atwood, Margaret",Female,unknown,Non-UK,Non-UK White,White Canadian,Masters,Radcliffe College,Language and Literature,English Literature,109322990,00012,Oryx and Crake,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0630,shortlisted,Bate,Jonathan,"Bate, Jonathan",Male,unknown,UK,White British,British,Doctorate,University of Cambridge,Language and Literature,unknown,54169585,00857,John Clare,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0690,shortlisted,Bryson,Bill,"Bryson, Bill",Male,unknown,UK,White British,American British,unknown,unknown,unknown,unknown,59134159,00858,A Short History of Nearly Everything,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0252,shortlisted,Dangor,Achmat,"Dangor, Achmat",Male,unknown,Non-UK,African,South African,Bachelors,Rhodes University,Language and Literature,Literature,64045687,00067,Bitter Fruit,2000
3,Costa First Novel Award,Whitbread First Novel Award,Whitbread,2004,fiction,0115,winner,Fletcher,Susan,"Fletcher, Susan",Female,unknown,UK,White British,British,Bachelors,University of East Anglia,Writing,Creative Writing,66750268,00100,Eve Green,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0688,winner,Funder,Anna,"Funder, Anna",Female,unknown,Non-UK,Non-UK White,White Australian,Doctorate,"University of Technology, Sydney",Writing,Creative Arts,92497046,00855,Stasiland,2000
5,Costa Biography Award,Whitbread Biography Award,Whitbread,2004,biography,0116,winner,Guy,John,"Guy, John",Male,unknown,UK,White British,British,Doctorate,University of Cambridge,History and Cultural Studies,History,282761978,00125,My Heart is My Own: The Life of Mary Queen of Scots,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0253,shortlisted,Hall,Sarah,"Hall, Sarah",Female,unknown,UK,White British,English,Masters,University of St Andrews,Writing,Creative Writing,74094805,00128,The Electric Michaelangelo,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0691,shortlisted,Hartley,Aidan,"Hartley, Aidan",Male,unknown,UK,Black British,Kenyan British,Masters,University of London,Politics and Economics,Politics,26437251,00859,The Zanzibar Chest,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2004,crime,0478,shortlisted,Hayder,Mo,"Hayder, Mo",Female,unknown,UK,White British,British,none,none,none,none,19845460,00610,Tokyo,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0363,shortlisted,Hazzard,Shirley,"Hazzard, Shirley",Female,unknown,Non-UK,Non-UK White,White Australian American,none,none,none,none,34571187,00457,The Great Fire,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2004,non-fiction,0692,shortlisted,Holland,Tom,"Holland, Tom",Male,unknown,UK,White British,English,Bachelors,University of Cambridge,Language and Literature,English,300279794,00860,Rubicon,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0029,winner,Hollinghurst,Alan,"Hollinghurst, Alan",Male,queer,UK,White British,English,Masters,University of Oxford,Language and Literature,English Literature,90719312,00142,The Line of Beauty,2000
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,2004,no/any/multi genre,0114,winner,Levy,Andrea,"Levy, Andrea",Female,unknown,UK,Caribbean,Jamaican British,unknown,Dartington College of Arts,Arts,Theatre,74098174,00177,Small Island,2000
4,Costa Novel Award,Whitbread Novel Award,Whitbread,2004,fiction,0114,winner,Levy,Andrea,"Levy, Andrea",Female,unknown,UK,Caribbean,Jamaican British,unknown,Dartington College of Arts,Arts,Theatre,74098174,00177,Small Island,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0114,winner,Levy,Andrea,"Levy, Andrea",Female,unknown,UK,Caribbean,Jamaican British,unknown,Dartington College of Arts,Arts,Theatre,74098174,00177,Small Island,2000
7,Costa Children's Book Award,Whitbread Children's Book Award,Whitbread,2004,children's,0118,winner,McCaughrean,Geraldine,"McCaughrean, Geraldine",Female,unknown,UK,White British,British,unknown,Canterbury Christ Church University,unknown,unknown,54191408,00207,Not the End of the World,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2004,crime,0479,shortlisted,McDermid,Val,"McDermid, Val",Female,queer,UK,White British,Scottish,Bachelors,University of Oxford,Language and Literature,English,85313207,00611,The Torment of Others,2000
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2004,sff,0500,winner,McDonald,Ian,"McDonald, Ian",Male,unknown,UK,Irish,Scottish Irish,unknown,unknown,unknown,unknown,100337159,00646,River of Gods,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0254,shortlisted,Mitchell,David,"Mitchell, David",Male,unknown,UK,White British,English,Masters,University of Kent,Language and Literature,Comparative Literature,85328187,00226,Cloud Atlas,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2004,crime,0480,shortlisted,Nichol,James W,"Nichol, James W",Male,unknown,Non-UK,Non-UK White,White Canadian,unknown,unknown,unknown,unknown,79128717,00612,Midnight Cab,2000
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2004,fiction,0019,winner,O'Hagan,Andrew,"O'Hagan, Andrew",Male,unknown,UK,White British,Scottish,Bachelors,University of Cambridge,Language and Literature,English Literature,87155882,00248,Personality,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2004,crime,0477,winner,Paretsky,Sara,"Paretsky, Sara",Female,unknown,Non-UK,Non-UK White,White American,Doctorate,University of Chicago,History and Cultural Studies,History,98820882,00609,Blacklist,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0364,shortlisted,Slovo,Gillian,"Slovo, Gillian",Female,unknown,Non-UK,White British,White South African British,Doctorate,University of Iowa,Language and Literature,Literature,85450517,00458,Ice Road,2000
6,Costa Poetry Award,Whitbread Poetry Award,Whitbread,2004,poetry,0117,winner,Symmons Roberts,Michael,"Symmons Roberts, Michael",Male,unknown,UK,White British,British,unknown,Courtauld Institute of Art,unknown,unknown,68815992,00297,Corpus,2000
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2004,poetry,0536,winner,Szirtes,George,"Szirtes, George",Male,unknown,UK,Non-UK White,Hungarian British,Bachelors,Leeds College of Art and Design,Arts,Painting,98248260,00686,Reel,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0094,shortlisted,Tóibín,Colm,"Tóibín, Colm",Male,queer,Non-UK,Irish,Irish,Bachelors,University College Dublin,Multiple,History and English,32063755,00331,The Master,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2004,fiction,0031,shortlisted,Tremain,Rose,"Tremain, Rose",Female,unknown,UK,White British,English,Bachelors,University of East Anglia,Language and Literature,English Literature,49285360,00459,The Colour,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2004,crime,0475,shortlisted,Wilson,Laura,"Wilson, Laura",Female,unknown,UK,White British,English,unknown,University of Oxford,Language and Literature,English,121020429,00613,The Lover,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2004,fiction,0255,shortlisted,Woodward,Gerard,"Woodward, Gerard",Male,unknown,UK,White British,British,Postgraduate,University of Manchester,History and Cultural Studies,Social Anthropology,114341591,00357,I'll Go to Bed at Noon,2000
3,Costa First Novel Award,Whitbread First Novel Award,Whitbread,2005,fiction,0111,winner,Aw,Tash,"Aw, Tash",Male,unknown,UK,Asian,Malaysian,unknown,University of East Anglia,Writing,Creative Writing,85723301,00016,The Harmony Silk Factory,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0250,winner,Banville,John,"Banville, John",Male,unknown,Non-UK,Irish,Irish,none,none,none,none,46805211,00021,The Sea,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0226,shortlisted,Barnes,Julian,"Barnes, Julian",Male,unknown,UK,White British,English,Bachelors,University of Oxford,Language and Literature,Modern Languages,51710796,00024,Arthur & George,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0014,shortlisted,Barry,Sebastian,"Barry, Sebastian",Male,unknown,Non-UK,Irish,Irish,unknown,"Trinity College, Dublin",Language and Literature,Latin and English,86463948,00027,A Long Long Way,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0046,winner,Coe,Jonathan,"Coe, Jonathan",Male,unknown,UK,White British,English,Doctorate,University of Warwick,Language and Literature,English Literature,7446091,00850,Like a Fiery Elephant,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0359,shortlisted,Denby,Joolz,"Denby, Joolz",Female,unknown,UK,White British,English,unknown,unknown,unknown,unknown,79213157,00451,Billie Morgan,2000
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2005,poetry,0085,winner,Duffy,Carol Ann,"Duffy, Carol Ann",Female,queer,UK,White British,Scottish,Bachelors,University of Liverpool,Philosophy and Theology,Philosophy,114321106,00685,Rapture,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0168,shortlisted,Gardam,Jane,"Gardam, Jane",Female,unknown,UK,White British,English,Bachelors,University of London,Language and Literature,English Literature,70213168,00452,Old Filth,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0360,shortlisted,Holman,Sheri,"Holman, Sheri",Female,unknown,Non-UK,Non-UK White,White American,Bachelors,William & Mary,Arts,Theatre,17358913,00453,The Mammoth Cheese,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2005,crime,0476,winner,Indriðason,Arnaldur,"Indriðason, Arnaldur",Male,unknown,Non-UK,Non-UK White,Icelandic,unknown,unknown,unknown,unknown,49405743,00608,Silence of the Grave,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0251,shortlisted,Ishiguro,Kazuo,"Ishiguro, Kazuo",Male,unknown,UK,Asian,Japanese British,Masters,University of East Anglia,Writing,Creative Writing,108702574,00152,Never Let Me Go,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0361,shortlisted,Lewycka,Marina,"Lewycka, Marina",Female,unknown,UK,Non-UK White,Ukrainian British,Bachelors,University of York,Language and Literature,English Literature,39691055,00454,A Short History of Tractors in Ukrainian,2000
6,Costa Poetry Award,Whitbread Poetry Award,Whitbread,2005,poetry,0112,winner,Logue,Christopher,"Logue, Christopher",Male,unknown,UK,White British,English,none,none,none,none,111268555,00181,Cold Calls,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0684,shortlisted,Masters,Alexander,"Masters, Alexander",Male,unknown,UK,White British,English,unknown,unknown,unknown,unknown,79260596,00851,Stuart,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0685,shortlisted,Mehta,Suketu,"Mehta, Suketu",Male,unknown,Non-UK,Asian,Indian American,Masters,University of Iowa,Writing,Creative Writing,26163510302710931857,00852,MaximumCity,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0362,shortlisted,Meloy,Maile,"Meloy, Maile",Female,unknown,Non-UK,Non-UK White,White American,Masters,"University of California, Irvine",Writing,Creative Writing,49469571,00455,Liars and Saints,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0686,shortlisted,Pamuk,Orhan,"Pamuk, Orhan",Male,unknown,Non-UK,Non-UK White,Turkish,Bachelors,Istanbul University,Writing,Journalism,107501225,00853,Istanbul,2000
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2005,fiction,0018,winner,Peace,David,"Peace, David",Male,unknown,UK,White British,English,unknown,unknown,unknown,unknown,39559391,00258,GB84,2000
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2005,sff,0504,winner,Ryman,Geoff,"Ryman, Geoff",Male,queer,UK,Non-UK White,White Canadian,Masters,"University of California, Los Angeles",History and Cultural Studies,History,47378368,00645,Air,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2005,fiction,0358,winner,Shriver,Lionel,"Shriver, Lionel",Female,unknown,UK,Non-UK White,White American,Bachelors,Columbia University,Language and Literature,English and Russian,99194665,00450,We Need to Talk About Kevin,2000
4,Costa Novel Award,Whitbread Novel Award,Whitbread,2005,fiction,0070,winner,Smith,Ali,"Smith, Ali",Female,queer,UK,White British,Scottish,unknown,unknown,unknown,unknown,118024365,00305,The Accidental,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0070,shortlisted,Smith,Ali,"Smith, Ali",Female,queer,UK,White British,Scottish,unknown,unknown,unknown,unknown,118024365,00305,The Accidental,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2005,fiction,0022,shortlisted,Smith,Zadie,"Smith, Zadie",Female,unknown,UK,Black British,Jamaican British,unknown,unknown,unknown,unknown,14951645,00303,On Beauty,2000
2,Costa Book of the Year,Whitbread Book of the Year,Whitbread,2005,no/any/multi genre,0110,winner,Spurling,Hilary,"Spurling, Hilary",Female,unknown,UK,White British,British,Bachelors,University of Oxford,Language and Literature,English Literature,27081285,00312,Matisse: The Master,2000
5,Costa Biography Award,Whitbread Biography Award,Whitbread,2005,biography,0110,winner,Spurling,Hilary,"Spurling, Hilary",Female,unknown,UK,White British,British,Bachelors,University of Oxford,Language and Literature,English Literature,27081285,00312,Matisse: The Master,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0110,shortlisted,Spurling,Hilary,"Spurling, Hilary",Female,unknown,UK,White British,British,Bachelors,University of Oxford,Language and Literature,English Literature,27081285,00312,Matisse: The Master,2000
7,Costa Children's Book Award,Whitbread Children's Book Award,Whitbread,2005,children's,0113,winner,Thompson,Kate,"Thompson, Kate",Female,unknown,UK,Irish,British Irish,unknown,unknown,unknown,unknown,60015614,00328,The New Policeman,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2005,non-fiction,0687,shortlisted,Wise,Sarah,"Wise, Sarah",Female,unknown,UK,White British,English,Bachelors,Southampton University,Language and Literature,English,29820747,00854,The Italian Boy,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2006,crime,0472,shortlisted,Beckett,Simon,"Beckett, Simon",Male,unknown,UK,White British,British,Masters,Newcastle University,Language and Literature,English,160204614,00603,The Chemistry of Death,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2006,non-fiction,0679,shortlisted,Bennett,Alan,"Bennett, Alan",Male,queer,UK,White British,English,Bachelors,University of Oxford,History and Cultural Studies,History,110928162,00845,Untold Stories,2000
4,Costa Novel Award,Costa Novel Award,Costa,2006,fiction,0033,winner,Boyd,William,"Boyd, William",Male,unknown,UK,White British,British,unknown,University of Oxford,Language and Literature,English Literature,111500719,00037,Restless,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2006,non-fiction,0680,shortlisted,Brotton,Jerry,"Brotton, Jerry",Male,unknown,UK,White British,British,Doctorate,Queen Mary University of London,History and Cultural Studies,Early Modern Mapping,6101162,00846,The Sale of the Late King's Goods,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2006,non-fiction,0681,shortlisted,Callil,Carmen,"Callil, Carmen",Female,unknown,UK,White British,Lebanese British,Bachelors,Melbourne University,Multiple,English Literature and Australian History,5064157,00847,Bad Faith,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2006,crime,0471,winner,Cleeves,Ann,"Cleeves, Ann",Female,unknown,UK,White British,British,none,none,none,none,40585642,00602,Raven Black,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2006,crime,0473,shortlisted,Cook,Thomas H,"Cook, Thomas H",Male,unknown,Non-UK,Non-UK White,White American,Masters,Hunter College,History and Cultural Studies,American History,102142009,00604,Red Leaves,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2006,fiction,0245,winner,Desai,Kiran,"Desai, Kiran",Female,unknown,UK,Asian,Indian American,Masters,University of Delhi,Language and Literature,English Literature,34618623,00071,The Inheritance of Loss,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2006,crime,0461,shortlisted,Fyfield,Frances,"Fyfield, Frances",Female,unknown,UK,White British,English,Bachelors,unknown,Language and Literature,English,76372462,00605,Safer Than Houses,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2006,fiction,0246,shortlisted,Grenville,Kate,"Grenville, Kate",Female,unknown,Non-UK,Non-UK White,White Australian,Doctorate,"University of Technology, Sydney",Arts,Creative Arts,42044546,00122,The Secret River,2000
12,BSFA Award for Best Novel,BSFA Award for Best Novel,British Science Fiction Association,2006,sff,0503,winner,Grimwood,Jon Courtenay,"Grimwood, Jon Courtenay",Male,unknown,UK,White British,Maltese British,unknown,unknown,unknown,unknown,26553205,00644,End of the World Blues,2000
6,Costa Poetry Award,Costa Poetry Award,Costa,2006,poetry,0108,winner,Haynes,John,"Haynes, John",Male,unknown,UK,White British,English,Bachelors,University of Southampton,unknown,unknown,113454170,00133,Letter to Patience,2000
14,TS Eliot Prize,TS Eliot Prize,TS Eliot Foundation,2006,poetry,0134,winner,Heaney,Seamus,"Heaney, Seamus",Male,unknown,UK,White British,Northern Irish,Bachelors,Queen's University,Language and Literature,English Literature,109557338,00684,District and Circle,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2006,fiction,0247,shortlisted,Hyland,MJ,"Hyland, MJ",Female,unknown,UK,Irish,British Irish Australian,unknown,University of Melbourne,Multiple,English and Law,22125959,00150,Carry Me Down,2000
11,Gold Dagger,Gold Dagger,The Crime Writers' Association,2006,crime,0474,shortlisted,James,Bill,"James, Bill",Male,unknown,UK,White British,Welsh,none,none,none,none,85437283,00606,Wolves of Memory,2000
16,Baillie Gifford Prize for Non-Fiction,Baillie Gifford Prize for Non-Fiction,Samuel Johnson Prize for Non-Fiction Limited,2006,non-fiction,0682,shortlisted,Judt,Tony,"Judt, Tony",Male,unknown,UK,Jewish,Jewish British,Doctorate,University of Cambridge,History and Cultural Studies,European History,19699030,00848,Postwar,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2006,fiction,0341,shortlisted,Krauss,Nicole,"Krauss, Nicole",Female,unknown,Non-UK,Jewish,Jewish American,Masters,Stanford University,unknown,unknown,99094300,00448,The History of Love,2000
10,Women's Prize for Fiction,Women's Prize for Fiction,Women's Prize Trust,2006,fiction,0077,shortlisted,Mantel,Hilary,"Mantel, Hilary",Female,unknown,UK,White British,English,Bachelors,University of Sheffield,Law,Law,44415775,00447,Beyond Black,2000
8,Booker Prize,Man Booker Prize,Booker Foundation,2006,fiction,0248,shortlisted,Matar,Hisham,"Matar, Hisham",Male,unknown,UK,African,British Libyan,Masters,University of London,Arts,Architecture,87596371,00198,In the Country of Men,2000
1,James Tait Black Prize for Fiction,James Tait Black Prize for Fiction,The University of Edinburgh,2006,fiction,0017,winner,McEwan,Ian,"McEwan, Ian",Male,unknown,UK,White British,English,Masters,University of East Anglia,Writing,Creative Writing,109587997,00212,Saturday,2000
7,Costa Children's Book Award,Costa Children's Book Award,Costa,2006,children's,0109,winner,Newbery,Linda,"Newbery, Linda",Female,unknown,UK,White British,British,unknown,unknown,unknown,unknown,23059591,00241,Set in Stone,2000
2,Costa Book of the Year,Costa Book of the Year,Costa,2006,no/any/multi genre,0106,winner,Penney,Stef,"Penney, Stef",Female,unknown,UK,White British,Scottish,Bachelors,unknown,Philosophy and Theology,Philosophy and Theology,85813646,00259,The Tenderness of Wolves,2000
3,Costa First Novel Award,Costa First Novel Award,Costa,2006,fiction,0106,winner,Penney,Stef,"Penney, Stef",Female,unknown,UK,White British,Scottish,Bachelors,unknown,Philosophy and Theology,Philosophy and Theology,85813646,00259,The Tenderness of Wolves,2000
